,Network,QuantBits,Accuracy,AccuracySubMetric1,AccuracySubMetric2,AccuracySubMetric3,Sparsity,Size,Valid
0,vgg11,32,91.36,99.49,0.5006132569116881,0.0,0.0,36891392.0,1
1,vgg11,4,25.39,75.8,4.927172853976866,0.0,0.7836503431477999,997680.0,0
2,vgg11,5,83.63000000000001,98.47,0.8731013159208662,0.0,0.5901697610109156,2362376.25,0
3,vgg11,6,90.06,99.38,0.5340483882759193,0.0,0.42576815751490216,3972039.75,1
4,vgg11,7,91.02,99.44,0.5124702885558331,0.0,0.2879126924785056,5746538.875,1
5,vgg11,8,91.17,99.49,0.5018628961111925,0.0,0.1719368030352446,7637101.0,1
6,vgg11,16,91.36,99.49,0.5006132569116881,0.0,0.0,36891392.0,1
7,resnet18,32,94.28,99.8,0.27889870460840727,0.0,0.0,44657408.0,1
8,resnet18,4,57.220000000000006,91.88000000000001,2.455068746699563,0.0,0.594820102411676,2261785.5,0
9,resnet18,5,90.2,99.42,0.44196639332590215,0.0,0.31780930948791297,4760135.625,0
10,resnet18,6,93.51,99.7,0.29894281725717503,0.0,0.15963443288065438,7036602.75,1
11,resnet18,7,94.08,99.77000000000001,0.2880626905096481,0.0,0.07939045633817354,8993257.875,1
12,resnet18,8,94.13,99.8,0.2810109964088548,0.0,0.03952374486221866,10723095.0,1
13,resnet18,16,94.28,99.8,0.27889870460840727,0.0,0.0,44657408.0,1
14,efficientnet,32,90.33,99.49,0.6266694941286799,0.0,0.0,11481472.0,1
15,efficientnet,4,10.509999999999998,51.56,,0.0,0.5178614728146356,691957.5,0
16,efficientnet,5,41.1,85.28999999999999,5.6170224811457405,0.0,0.2894628842016076,1274689.375,0
17,efficientnet,6,65.64,96.13000000000001,2.8687155156195923,0.0,0.1560454966053133,1816845.0,0
18,efficientnet,7,82.57,98.87,1.2464354951170433,0.0,0.08087360226981344,2308452.125,0
19,efficientnet,8,86.04,99.19,0.9792958875245686,0.0,0.04073205944324909,2753452.0,0
20,efficientnet,16,90.33,99.49,0.6266694941286799,0.0,0.0,11481472.0,1
21,vgg16,32,71.51,89.44,1.9801541099065465,0.0,0.0,59046656.0,1
22,vgg16,4,5.530000000000001,15.93,9.946414313738856,0.0,0.7345358219777933,1959346.5,0
23,vgg16,5,55.370000000000005,77.38000000000001,3.0882780340653437,0.0,0.4989432085705243,4622770.0,0
24,vgg16,6,68.69000000000001,87.81,2.130541664135607,0.0,0.31920026089199705,7537302.75,0
25,vgg16,7,70.77,89.19,1.999562293668337,0.0,0.1948184161351999,10400092.5,1
26,vgg16,8,71.41999999999999,89.36,1.9791318329074727,0.0,0.11028085993557368,13133735.0,1
27,vgg16,16,71.51,89.44,1.9801541099065465,0.0,0.0,59046656.0,1
28,resnet50,32,72.64999999999999,91.7,1.3976214935507956,0.0,0.0,94608128.0,1
29,resnet50,4,19.53,40.800000000000004,5.597809501841099,0.0,0.6728122979031992,3869327.0,0
30,resnet50,5,55.13,80.75,2.662342137928251,0.0,0.3966169587458701,8919521.875,0
31,resnet50,6,69.34,89.69,1.6402348672287366,0.0,0.20936733892462178,14025051.75,0
32,resnet50,7,72.12,91.19,1.443178744255742,0.0,0.10579534984562844,18506037.375,1
33,resnet50,8,72.5,91.56,1.4016550635989713,0.0,0.05283368464916671,22402408.0,1
34,resnet50,16,72.64999999999999,91.7,1.3976214935507956,0.0,0.0,94608128.0,1
35,mobilenetv2,32,75.07000000000001,92.94,1.285161992417107,0.0,0.0,9508096.0,1
36,mobilenetv2,4,1.9199999999999995,9.199999999999998,18.305324168144903,0.0,0.398232411620581,715208.0,0
37,mobilenetv2,5,37.33,66.45,4.256909798972216,0.0,0.19934338063057,1189487.5,0
38,mobilenetv2,6,67.34,88.81,1.7608939854404593,0.0,0.09849837443795262,1607168.25,0
39,mobilenetv2,7,73.6,92.16,1.3766220377970346,0.0,0.04870333660913817,1978598.125,1
40,mobilenetv2,8,74.5,92.64,1.3056237697601316,0.0,0.024123862443122146,2319681.0,1
41,mobilenetv2,16,75.07000000000001,92.94,1.285161992417107,0.0,0.0,9508096.0,1
