,Network,QuantBits,Accuracy,AccuracySubMetric1,AccuracySubMetric2,AccuracySubMetric3,Sparsity,Size,Valid
0,vgg11,32,91.36,99.49,0.5006132569116881,0.0,0.0,36891392.0,1
1,vgg11,4,25.39,75.8,4.927172853976866,0.0,0.7836503431477999,997680.0,0
2,vgg11,5,83.63000000000001,98.47,0.8731013159208662,0.0,0.5901697610109156,2362376.25,0
3,vgg11,6,90.06,99.38,0.5340483882759193,0.0,0.42576815751490216,3972039.75,1
4,vgg11,7,91.02,99.44,0.5124702885558331,0.0,0.2879126924785056,5746538.875,1
5,vgg11,8,91.17,99.49,0.5018628961111925,0.0,0.1719368030352446,7637101.0,1
6,vgg11,16,91.36,99.49,0.5006132569116881,0.0,0.0,36891392.0,1
7,resnet18,32,94.28,99.8,0.27889870460840727,0.0,0.0,44657408.0,1
8,resnet18,4,57.220000000000006,91.88000000000001,2.455068746699563,0.0,0.594820102411676,2261785.5,0
9,resnet18,5,90.2,99.42,0.44196639332590215,0.0,0.31780930948791297,4760135.625,0
10,resnet18,6,93.51,99.7,0.29894281725717503,0.0,0.15963443288065438,7036602.75,1
11,resnet18,7,94.08,99.77000000000001,0.2880626905096481,0.0,0.07939045633817354,8993257.875,1
12,resnet18,8,94.13,99.8,0.2810109964088548,0.0,0.03952374486221866,10723095.0,1
13,resnet18,16,94.28,99.8,0.27889870460840727,0.0,0.0,44657408.0,1
0,vgg16,32,92.76842948717949,99.51923076923077,0.43062256009150784,0.0,0.0,58862336.0,1
1,vgg16,4,24.37900641025641,61.71875,4.03579156826704,0.0,0.8565562875384354,1055429.0,0
2,vgg16,5,85.2363782051282,98.27724358974359,0.7461826698138165,0.0,0.681046025764251,2933496.25,0
3,vgg16,6,91.96714743589743,99.49919871794873,0.45758473605681677,0.0,0.503027334830884,5484932.25,1
4,vgg16,7,92.48798076923077,99.57932692307693,0.42757978290319437,0.0,0.34550827204683143,8427324.5,1
5,vgg16,8,92.20753205128204,99.45913461538461,0.46700334892823153,0.0,0.20999669466057214,11625360.0,1
6,vgg16,16,93.50961538461539,99.55929487179486,0.3960767193482473,0.0,0.0,58862336.0,1
28,resnet50,32,72.64999999999999,91.7,1.3976214935507956,0.0,0.0,94608128.0,1
29,resnet50,4,19.53,40.800000000000004,5.597809501841099,0.0,0.6728122979031992,3869327.0,0
30,resnet50,5,55.13,80.75,2.662342137928251,0.0,0.3966169587458701,8919521.875,0
31,resnet50,6,69.34,89.69,1.6402348672287366,0.0,0.20936733892462178,14025051.75,0
32,resnet50,7,72.12,91.19,1.443178744255742,0.0,0.10579534984562844,18506037.375,1
33,resnet50,8,72.5,91.56,1.4016550635989713,0.0,0.05283368464916671,22402408.0,1
34,resnet50,16,72.64999999999999,91.7,1.3976214935507956,0.0,0.0,94608128.0,1
35,mobilenetv2,32,75.07000000000001,92.94,1.285161992417107,0.0,0.0,9508096.0,1
36,mobilenetv2,4,1.9199999999999995,9.199999999999998,18.305324168144903,0.0,0.398232411620581,715208.0,0
37,mobilenetv2,5,37.33,66.45,4.256909798972216,0.0,0.19934338063057,1189487.5,0
38,mobilenetv2,6,67.34,88.81,1.7608939854404593,0.0,0.09849837443795262,1607168.25,0
39,mobilenetv2,7,73.6,92.16,1.3766220377970346,0.0,0.04870333660913817,1978598.125,1
40,mobilenetv2,8,74.5,92.64,1.3056237697601316,0.0,0.024123862443122146,2319681.0,1
41,mobilenetv2,16,75.07000000000001,92.94,1.285161992417107,0.0,0.0,9508096.0,1
0,inception_v3,32,77.318,93.402,0.9875448018388674,0.0,0.0,108492160.0,1
1,inception_v3,4,0.08599999999999719,0.40000000000000036,450.84322511326627,0.0,0.7492786206855868,3400163.0,0
2,inception_v3,5,0.10599999999999499,0.5800000000000027,7.537446939122034,0.0,0.4869422085429952,8697304.375,0
3,inception_v3,6,37.67,59.134,3.7882261273196285,0.0,0.26919928592075226,14866152.75,0
4,inception_v3,7,72.21600000000001,90.464,1.331782702061222,0.0,0.13784664255924117,20461192.5,0
5,inception_v3,8,76.332,92.852,1.0510314892396295,0.0,0.06912414685079549,25248183.0,1
6,inception_v3,16,77.318,93.402,0.9875448018388674,0.0,0.0,108492160.0,1
