No.;Layer;Latency [ms];Energy [mJ]
1;/conv1/Conv;2.9491199999999997;2.0539271186750425
2;/layer1/layer1.0/conv1/Conv;10.48576;4.335472693002662
3;/layer1/layer1.0/conv2/Conv;62.914559999999994;17.440783261537756
4;/layer1/layer1.0/conv3/Conv;41.94304;12.61307447329081
5;/layer1/layer1.0/shortcut/shortcut.0/Conv;41.94304;12.61307447329081
6;/layer1/layer1.1/conv1/Conv;41.94304;15.471663411110915
7;/layer1/layer1.1/conv2/Conv;62.914559999999994;17.440783261537756
8;/layer1/layer1.1/conv3/Conv;41.94304;12.61307447329081
9;/layer1/layer1.2/conv1/Conv;41.94304;15.471663411110915
10;/layer1/layer1.2/conv2/Conv;62.914559999999994;17.440783261537756
11;/layer1/layer1.2/conv3/Conv;41.94304;12.61307447329081
12;/layer2/layer2.0/conv1/Conv;83.88608;21.84817507607195
13;/layer2/layer2.0/conv2/Conv;62.914559999999994;22.39064331541071
14;/layer2/layer2.0/conv3/Conv;41.94304;10.161532975650928
15;/layer2/layer2.0/shortcut/shortcut.0/Conv;83.88608;25.161727620346987
16;/layer2/layer2.1/conv1/Conv;41.94304;12.25254905179382
17;/layer2/layer2.1/conv2/Conv;62.914559999999994;17.611138907680665
18;/layer2/layer2.1/conv3/Conv;41.94304;10.161532975650928
19;/layer2/layer2.2/conv1/Conv;41.94304;12.25254905179382
20;/layer2/layer2.2/conv2/Conv;62.914559999999994;17.611138907680665
21;/layer2/layer2.2/conv3/Conv;41.94304;10.161532975650928
22;/layer2/layer2.3/conv1/Conv;41.94304;12.25254905179382
23;/layer2/layer2.3/conv2/Conv;62.914559999999994;17.611138907680665
24;/layer2/layer2.3/conv3/Conv;41.94304;10.161532975650928
25;/layer3/layer3.0/conv1/Conv;83.88608;19.35713775380828
26;/layer3/layer3.0/conv2/Conv;62.914559999999994;16.849318057714612
27;/layer3/layer3.0/conv3/Conv;41.94304;11.745567978831955
28;/layer3/layer3.0/shortcut/shortcut.0/Conv;83.88608;19.416563765082184
29;/layer3/layer3.1/conv1/Conv;41.94304;12.953119570071737
30;/layer3/layer3.1/conv2/Conv;62.914559999999994;15.586788720284163
31;/layer3/layer3.1/conv3/Conv;41.94304;11.745567978831955
32;/layer3/layer3.2/conv1/Conv;41.94304;12.953119570071737
33;/layer3/layer3.2/conv2/Conv;62.914559999999994;15.586788720284163
34;/layer3/layer3.2/conv3/Conv;41.94304;11.745567978831955
35;/layer3/layer3.3/conv1/Conv;41.94304;12.953119570071737
36;/layer3/layer3.3/conv2/Conv;62.914559999999994;15.586788720284163
37;/layer3/layer3.3/conv3/Conv;41.94304;11.745567978831955
38;/layer3/layer3.4/conv1/Conv;41.94304;12.953119570071737
39;/layer3/layer3.4/conv2/Conv;62.914559999999994;15.586788720284163
40;/layer3/layer3.4/conv3/Conv;41.94304;11.745567978831955
41;/layer3/layer3.5/conv1/Conv;41.94304;12.953119570071737
42;/layer3/layer3.5/conv2/Conv;62.914559999999994;15.586788720284163
43;/layer3/layer3.5/conv3/Conv;41.94304;11.745567978831955
44;/layer4/layer4.0/conv1/Conv;83.88608;22.838198167927512
45;/layer4/layer4.0/conv2/Conv;62.914559999999994;17.641073115879287
46;/layer4/layer4.0/conv3/Conv;41.94304;10.332953126944355
47;/layer4/layer4.0/shortcut/shortcut.0/Conv;83.88608;16.56369542653312
48;/layer4/layer4.1/conv1/Conv;41.94304;8.31120929791119
49;/layer4/layer4.1/conv2/Conv;62.914559999999994;15.911249851337702
50;/layer4/layer4.1/conv3/Conv;41.94304;10.332953126944355
51;/layer4/layer4.2/conv1/Conv;41.94304;8.31120929791119
52;/layer4/layer4.2/conv2/Conv;62.914559999999994;15.911249851337702
53;/layer4/layer4.2/conv3/Conv;41.94304;10.332953126944355
54;/linear/Gemm;0.8191999999999999;0.22686531284235578
