nondom 441
dom 185382
1 Partition(s): 0
2 Partition(s): 0
3 Partition(s): 0
4 Partition(s): 0
5 Partition(s): 0
6 Partition(s): 0
7 Partition(s): 0
8 Partition(s): 0
9 Partition(s): 0
10 Partition(s): 1
11 Partition(s): 1
12 Partition(s): 5
13 Partition(s): 9
14 Partition(s): 5
15 Partition(s): 15
16 Partition(s): 8
17 Partition(s): 19
18 Partition(s): 10
19 Partition(s): 19
20 Partition(s): 11
21 Partition(s): 29
22 Partition(s): 31
23 Partition(s): 31
24 Partition(s): 22
25 Partition(s): 31
26 Partition(s): 28
27 Partition(s): 25
28 Partition(s): 31
29 Partition(s): 22
30 Partition(s): 22
31 Partition(s): 14
32 Partition(s): 11
33 Partition(s): 8
34 Partition(s): 9
35 Partition(s): 6
36 Partition(s): 8
37 Partition(s): 7
38 Partition(s): 3
