nondom 426
dom 130190
1 Partition(s): 0
2 Partition(s): 0
3 Partition(s): 3
4 Partition(s): 0
5 Partition(s): 8
6 Partition(s): 8
7 Partition(s): 14
8 Partition(s): 21
9 Partition(s): 38
10 Partition(s): 24
11 Partition(s): 18
12 Partition(s): 16
13 Partition(s): 23
14 Partition(s): 22
15 Partition(s): 17
16 Partition(s): 28
17 Partition(s): 29
18 Partition(s): 28
19 Partition(s): 35
20 Partition(s): 26
21 Partition(s): 23
22 Partition(s): 13
23 Partition(s): 10
24 Partition(s): 9
25 Partition(s): 7
26 Partition(s): 6
