nondom 583
dom 178856
1 Partition(s): 0
2 Partition(s): 0
3 Partition(s): 0
4 Partition(s): 0
5 Partition(s): 0
6 Partition(s): 0
7 Partition(s): 0
8 Partition(s): 0
9 Partition(s): 0
10 Partition(s): 0
11 Partition(s): 2
12 Partition(s): 1
13 Partition(s): 5
14 Partition(s): 7
15 Partition(s): 2
16 Partition(s): 6
17 Partition(s): 13
18 Partition(s): 10
19 Partition(s): 17
20 Partition(s): 33
21 Partition(s): 22
22 Partition(s): 41
23 Partition(s): 50
24 Partition(s): 59
25 Partition(s): 61
26 Partition(s): 46
27 Partition(s): 48
28 Partition(s): 39
29 Partition(s): 47
30 Partition(s): 27
31 Partition(s): 18
32 Partition(s): 9
33 Partition(s): 7
34 Partition(s): 5
35 Partition(s): 1
36 Partition(s): 2
37 Partition(s): 1
38 Partition(s): 1
39 Partition(s): 1
40 Partition(s): 0
41 Partition(s): 1
42 Partition(s): 0
43 Partition(s): 1
