nondom 339
dom 84475
1 Partition(s): 0
2 Partition(s): 0
3 Partition(s): 0
4 Partition(s): 0
5 Partition(s): 0
6 Partition(s): 0
7 Partition(s): 4
8 Partition(s): 0
9 Partition(s): 9
10 Partition(s): 2
11 Partition(s): 3
12 Partition(s): 1
13 Partition(s): 7
14 Partition(s): 18
15 Partition(s): 9
16 Partition(s): 29
17 Partition(s): 13
18 Partition(s): 20
19 Partition(s): 31
20 Partition(s): 22
21 Partition(s): 28
22 Partition(s): 31
23 Partition(s): 26
24 Partition(s): 23
25 Partition(s): 25
26 Partition(s): 11
27 Partition(s): 7
28 Partition(s): 12
29 Partition(s): 7
30 Partition(s): 1
