nondom 298
dom 98217
1 Partition(s): 0
2 Partition(s): 0
3 Partition(s): 0
4 Partition(s): 0
5 Partition(s): 2
6 Partition(s): 4
7 Partition(s): 7
8 Partition(s): 11
9 Partition(s): 13
10 Partition(s): 12
11 Partition(s): 8
12 Partition(s): 20
13 Partition(s): 11
14 Partition(s): 12
15 Partition(s): 22
16 Partition(s): 17
17 Partition(s): 12
18 Partition(s): 12
19 Partition(s): 17
20 Partition(s): 23
21 Partition(s): 17
22 Partition(s): 20
23 Partition(s): 11
24 Partition(s): 19
25 Partition(s): 16
26 Partition(s): 7
27 Partition(s): 2
28 Partition(s): 1
29 Partition(s): 2
