,Network,QuantBits,Accuracy,AccuracySubMetric1,AccuracySubMetric2,AccuracySubMetric3,Sparsity,Size,Valid
0,ssdlite320_mobilenet_v3_large,32,34.29303014579354,21.48670849705788,22.544945458117866,0.0,0.0,13599264.0,1
1,ssdlite320_mobilenet_v3_large,4,0.002350183476797332,0.0005257435461842672,6.165931547739638e-06,0.0,0.7095963428609078,493659.5,0
2,ssdlite320_mobilenet_v3_large,5,0.014534491798919464,0.005682323897004714,0.003344479299167681,0.0,0.515538487965231,1029425.0,0
3,ssdlite320_mobilenet_v3_large,6,0.3692249866057095,0.11028820211648831,0.03781242037116803,0.0,0.3534182438108415,1648694.25,0
4,ssdlite320_mobilenet_v3_large,7,4.335948310383467,1.6388879634250004,1.0268872335833683,0.0,0.2334511632394224,2280359.375,0
5,ssdlite320_mobilenet_v3_large,8,7.214411250595782,2.9138817052802475,1.7014484159354644,0.0,0.15076433548168489,2887245.0,0
6,ssdlite320_mobilenet_v3_large,16,34.67015864890738,21.372897985841284,21.95452001492619,0.0,0.0,13599264.0,1
0,ssd300_vgg16,32,41.21324318305643,24.817568685650983,25.9205426217531,0.0,0.0,142521088.0,1
1,ssd300_vgg16,4,0.003348120454522894,0.0007381720760223836,6.245073543170772e-05,0.0,0.9376093732879727,1111497.5,0
2,ssd300_vgg16,5,4.76760687305741,1.870493840151707,1.1513813694576032,0.0,0.7717256831494298,5083422.5,0
3,ssd300_vgg16,6,18.97180643891864,7.693178438978718,4.413018725248868,0.0,0.5643285855353559,11642318.25,0
4,ssd300_vgg16,7,25.615234525576476,10.836888957702898,6.5081559186935545,0.0,0.37989839089637034,19332590.375,0
5,ssd300_vgg16,8,26.787288509652353,11.491792464155722,7.15584744709272,0.0,0.22641629005807196,27562998.0,0
6,ssd300_vgg16,16,42.38569142908889,25.732477147537196,26.90894463729043,0.0,0.0,142521088.0,1
0,fasterrcnn_resnet50_fpn,32,59.86690695838776,37.97934119469686,41.402939188171764,0.0,0.0,167001856.0,1
1,fasterrcnn_resnet50_fpn,4,0.002040755154475427,0.00030306504181546216,3.5717122746342635e-05,0.0,0.8434593684994734,3267822.0,0
2,fasterrcnn_resnet50_fpn,5,1.1251548344255675,0.546807294716338,0.4669101925133886,0.0,0.5845219588457747,10841500.625,0
3,fasterrcnn_resnet50_fpn,6,43.15150460052653,23.35333194756434,22.993947705522793,0.0,0.3402674039742408,20658106.5,0
4,fasterrcnn_resnet50_fpn,7,54.47133220367824,31.40399838684493,32.81850335927323,0.0,0.17984734253492374,29961534.75,0
5,fasterrcnn_resnet50_fpn,8,56.40470542782271,33.11223182013474,34.8193551081743,0.0,0.09213861671094237,37903634.0,1
6,fasterrcnn_resnet50_fpn,16,59.016467339351244,37.50700923419335,40.120895080252964,0.0,0.0,167001856.0,1
0,fcos_resnet50_fpn,32,59.03840918412252,39.88381575521818,42.7648624679526,0.0,0.0,129045248.0,1
1,fcos_resnet50_fpn,4,0.0037555634138440796,0.0005045041262916687,1.5309546788424515e-06,0.0,0.7832655100945678,3496069.5,0
2,fcos_resnet50_fpn,5,0.030443124560713124,0.007750780539068039,0.0009814727053784897,0.0,0.5339703791339918,9396704.375,0
3,fcos_resnet50_fpn,6,29.47556281817555,9.433026972773497,1.955364203283238,0.0,0.31106323264224345,16669503.0,0
4,fcos_resnet50_fpn,7,41.10785973976835,13.409337051889022,2.798332566701594,0.0,0.16494257890069686,23572542.0,0
5,fcos_resnet50_fpn,8,40.83275962472078,13.358735198813315,2.029210907422891,0.0,0.0848102519823124,29525222.0,0
6,fcos_resnet50_fpn,16,58.33599310495832,39.260026972488276,41.9860747231288,0.0,0.0,129045248.0,1
0,fasterrcnn_resnet50_fpn_v2,32,66.77919030889886,46.74220069021883,51.39713253560948,0.0,0.0,174604032.0,1
1,fasterrcnn_resnet50_fpn_v2,4,0.002575022970938301,0.00032880505674238325,1.0173987454447798e-05,0.0,0.929244955809497,1544264.5,0
2,fasterrcnn_resnet50_fpn_v2,5,1.3852201242787072,0.6999222462512938,0.6095119280956227,0.0,0.7399650427316593,7094242.5,0
3,fasterrcnn_resnet50_fpn_v2,6,51.37145833516633,32.78373603857454,35.92189790040962,0.0,0.4832873504318618,16916271.0,0
4,fasterrcnn_resnet50_fpn_v2,7,61.671613266160286,41.581484521585445,45.17085457621332,0.0,0.2742998512199306,27717850.125,0
5,fasterrcnn_resnet50_fpn_v2,8,65.00466728243775,44.633948759849474,48.701036483053926,0.0,0.1472225108753502,37224597.0,1
6,fasterrcnn_resnet50_fpn_v2,16,68.29459495238463,47.34296049696592,51.821467413672615,0.0,0.0,174604032.0,1
0,retinanet_resnet50_fpn,32,56.572023991767075,37.14177315679941,39.27479861277668,0.0,0.0,136040192.0,1
1,retinanet_resnet50_fpn,4,0.0027736462424249645,0.0008240982157207302,1.378934503398996e-05,0.0,0.8045973648728753,3322826.5,0
2,retinanet_resnet50_fpn,5,0.8472749844301211,0.24496183563564564,0.021192797063881517,0.0,0.5555239733857477,9447906.875,0
