,Network,QuantBits,Top1,Top5,Loss,Sparsity,Size,Valid
0,vgg11,32,91.35616987179486,99.4891826923077,0.4902621572598434,1.0,0.0,1
1,vgg11,4,25.590945512820518,74.96995192307692,4.912481723687588,0.2163496568522001,3613744.0,0
2,vgg11,5,84.22475961538461,98.5576923076923,0.8473951919720722,0.40983023898908455,3401903.75,0
3,vgg11,6,90.17427884615384,99.45913461538461,0.5411858598773296,0.5742318424850978,2945096.25,1
4,vgg11,7,90.86538461538461,99.5292467948718,0.505767362431074,0.7120873075214944,2323453.125,1
5,vgg11,8,91.22596153846155,99.46915064102564,0.4924702436113969,0.8280631969647554,1585747.0,1
6,vgg11,16,91.35616987179486,99.4891826923077,0.4896583982194082,1.0,0.0,1
7,resnet18,32,94.28084935897436,99.79967948717949,0.2749452102595032,1.0,0.0,1
8,resnet18,4,58.33333333333333,92.1474358974359,2.4000933032769423,0.40517989758832396,3320390.5,0
9,resnet18,5,89.84375,99.50921474358975,0.45135757976617574,0.682190690512087,2217584.375,1
10,resnet18,6,93.61979166666666,99.7295673076923,0.29561269932832474,0.8403655671193455,1336661.25,1
11,resnet18,7,94.04046474358975,99.70953525641025,0.28034388123509973,0.9206095436618265,775550.125,1
12,resnet18,8,94.29086538461539,99.77964743589743,0.276868278065171,0.9604762551377815,441257.0,1
13,resnet18,16,94.27083333333334,99.79967948717949,0.27531325072050095,1.0,0.0,1
14,efficientnet,32,90.33453525641025,99.4891826923077,0.6276169646626865,1.0,0.0,1
15,efficientnet,4,10.22636217948718,51.27203525641026,,0.48213852718536443,743226.5,0
16,efficientnet,5,42.89863782051282,85.15625,5.460693964591395,0.7105371157983924,519290.625,0
17,efficientnet,6,65.36458333333333,95.84334935897436,2.8928802487177725,0.8439545033946867,335931.0,0
18,efficientnet,7,82.83253205128204,98.83814102564102,1.2428401976059649,0.9191263977301865,203119.875,0
19,efficientnet,8,85.8573717948718,99.16866987179486,0.9732974213667405,0.9592679405567509,116916.0,1
20,efficientnet,16,90.34455128205127,99.4891826923077,0.6242489300859282,1.0,0.0,1
21,vgg16,32,71.5244391025641,89.44310897435898,1.9756056819206633,1.0,0.0,1
22,vgg16,4,5.649038461538458,16.05568910256411,9.620651923693147,0.2654641780222067,5421485.5,0
23,vgg16,5,54.79767628205128,76.9931891025641,3.1213281674262805,0.5010567914294757,4603270.0,0
24,vgg16,6,68.72996794871796,87.92067307692307,2.1515992146271934,0.680799739108003,3533945.25,1
25,vgg16,7,70.90344551282051,89.25280448717949,1.989324831045591,0.8051815838648001,2516363.5,1
26,vgg16,8,71.08373397435898,89.42307692307693,1.9784117104151306,0.8897191400644263,1627929.0,1
27,vgg16,16,71.51442307692308,89.43309294871796,1.9760890022302284,1.0,0.0,1
28,resnet50,32,72.62620192307692,91.70673076923077,1.3962356333549208,1.0,0.0,1
29,resnet50,4,19.200721153846157,41.22596153846154,5.62626658953153,0.3271877020968008,7956689.0,0
30,resnet50,5,54.90785256410257,80.43870192307692,2.646377578759805,0.6033830412541299,5862998.125,0
31,resnet50,6,69.43108974358974,89.8838141025641,1.616033690098005,0.7906326610753782,3713972.25,1
32,resnet50,7,72.19551282051282,91.41626602564102,1.4374649417706025,0.8942046501543716,2189490.625,1
33,resnet50,8,72.35576923076923,91.63661858974359,1.3998563511249347,0.9471663153508333,1249624.0,1
34,resnet50,16,72.64623397435898,91.69671474358975,1.395404943288901,1.0,0.0,1
35,mobilenetv2,32,75.09014423076923,92.94871794871796,1.290449119531191,1.0,0.0,1
36,mobilenetv2,4,1.732772435897434,8.66386217948718,18.94225904269096,0.6017675883794189,473304.0,0
37,mobilenetv2,5,37.72035256410257,66.31610576923077,4.309897132408925,0.80065661936943,296152.5,0
38,mobilenetv2,6,66.81690705128204,88.91225961538461,1.7609391464636879,0.9015016255620474,175599.75,0
39,mobilenetv2,7,73.4775641025641,92.12740384615384,1.3772246302702496,0.9512966633908618,101297.875,1
40,mobilenetv2,8,74.46915064102564,92.51802884615384,1.3167839432374018,0.9758761375568779,57343.0,1
41,mobilenetv2,16,75.0400641025641,92.93870192307693,1.292105223888006,1.0,0.0,1
