,Network,QuantBits,Accuracy,AccuracySubMetric1,AccuracySubMetric2,AccuracySubMetric3,Sparsity,Size,Valid
7,resnet34,32,94.25,99.79,0.3110526284273667,0.0,0.0,85060352.0,1
8,resnet34,4,61.11,94.06,2.5538402448726614,0.0,0.7878182305194317,2256032.0,0
9,resnet34,5,89.17,99.24,0.5850552292187001,0.0,0.5331168156934032,6205195.0,0
10,resnet34,6,93.14,99.7,0.35765058886778517,0.0,0.3042627897895367,11096184.75,1
11,resnet34,7,93.75,99.76,0.32301928428343574,0.0,0.15826297074340812,15662160.5,1
12,resnet34,8,94.04,99.78,0.3134322986006736,0.0,0.07975494858050902,19569092.0,1
13,resnet34,16,94.25,99.79,0.3110526284273667,0.0,0.0,85060352.0,1
21,vgg16,32,71.51,89.44,1.9801541099065465,0.0,0.0,59046656.0,1
22,vgg16,4,5.530000000000001,15.93,9.946414313738856,0.0,0.7345358219777933,1959346.5,0
23,vgg16,5,55.370000000000005,77.38000000000001,3.0882780340653437,0.0,0.4989432085705243,4622770.0,0
24,vgg16,6,68.69000000000001,87.81,2.130541664135607,0.0,0.31920026089199705,7537302.75,0
25,vgg16,7,70.77,89.19,1.999562293668337,0.0,0.1948184161351999,10400092.5,1
26,vgg16,8,71.41999999999999,89.36,1.9791318329074727,0.0,0.11028085993557368,13133735.0,1
27,vgg16,16,71.51,89.44,1.9801541099065465,0.0,0.0,59046656.0,1
0,deeplabv3_resnet50,32,78.16521525382996,94.80175073596014,0.0,0.0,0.0,167787264.0,1
1,deeplabv3_resnet50,4,0.6821946240961552,9.37684916725975,0.0,0.0,0.7986868419285984,4222223.0,0
2,deeplabv3_resnet50,5,8.528835326433182,75.26992787320998,0.0,0.0,0.5024408288819824,13044389.375,0
3,deeplabv3_resnet50,6,72.12910056114197,93.12151059189527,0.0,0.0,0.2760705603972421,22774901.25,0
4,deeplabv3_resnet50,7,77.1041750907898,94.29138899672188,0.0,0.0,0.14266904072051623,31467016.0,1
5,deeplabv3_resnet50,8,76.81825757026672,94.15185479479382,0.0,0.0,0.07270759239509383,38896964.0,1
6,deeplabv3_resnet50,16,78.16521525382996,94.80175073596014,0.0,0.0,0.0,167787264.0,1
28,fcn_resnet101,32,73.2578456401825,93.94634028316943,0.0,0.0,0.0,207371008.0,1
29,fcn_resnet101,4,3.531312942504883,69.91658444401311,0.0,0.0,0.8633482844429247,3542200.5,0
30,fcn_resnet101,5,5.858701840043068,74.043849947701,0.0,0.0,0.5799862437858236,13609168.125,0
31,fcn_resnet101,6,64.55695033073425,91.49268487965838,0.0,0.0,0.328591468292424,26105749.5,0
32,fcn_resnet101,7,72.28878736495972,93.44252434329712,0.0,0.0,0.1762957722614725,37365207.25,1
33,fcn_resnet101,8,72.84830212593079,93.51954910983868,0.0,0.0,0.094195346728507,46959406.0,1
34,fcn_resnet101,16,73.2578456401825,93.94634028316943,0.0,0.0,0.0,207371008.0,1
0,fasterrcnn_resnet50_fpn,32,59.86690695838776,37.97934119469686,41.402939188171764,0.0,0.0,167001856.0,1
1,fasterrcnn_resnet50_fpn,4,0.002040755154475427,0.00030306504181546216,3.5717122746342635e-05,0.0,0.8434593684994734,3267822.0,0
2,fasterrcnn_resnet50_fpn,5,1.1251548344255675,0.546807294716338,0.4669101925133886,0.0,0.5845219588457747,10841500.625,0
3,fasterrcnn_resnet50_fpn,6,43.15150460052653,23.35333194756434,22.993947705522793,0.0,0.3402674039742408,20658106.5,0
4,fasterrcnn_resnet50_fpn,7,54.47133220367824,31.40399838684493,32.81850335927323,0.0,0.17984734253492374,29961534.75,0
5,fasterrcnn_resnet50_fpn,8,56.40470542782271,33.11223182013474,34.8193551081743,0.0,0.09213861671094237,37903634.0,1
6,fasterrcnn_resnet50_fpn,16,59.016467339351244,37.50700923419335,40.120895080252964,0.0,0.0,167001856.0,1
0,fasterrcnn_mobilenet_v3_large_320_fpn,32,38.86637814582091,23.272435240647155,23.592692685015663,0.0,0.0,77509664.0,1
1,fasterrcnn_mobilenet_v3_large_320_fpn,4,0.0,0.0,0.0,0.0,0.73,2640000,0
2,fasterrcnn_mobilenet_v3_large_320_fpn,5,0.0,0.0,0.0,0.0,0.0,0.0,0
1,fasterrcnn_mobilenet_v3_large_320_fpn,6,8.037089626350918,3.8037682356425018,3.1222654152562797,0.0,0.24374121915945857,10990755.75,0
2,fasterrcnn_mobilenet_v3_large_320_fpn,7,29.59091218811433,15.481556028369631,14.605869530204677,0.0,0.12816378613123647,14782191.375,0
3,fasterrcnn_mobilenet_v3_large_320_fpn,8,35.510554969643614,19.222648141464653,19.320157970704358,0.0,0.06701295982911237,18078878.0,1
4,fasterrcnn_mobilenet_v3_large_320_fpn,16,38.89115879501636,23.603239949682724,24.251449565264803,0.0,0.0,77509664.0,1
