,Network,QuantBits,Accuracy,AccuracySubMetric1,AccuracySubMetric2,AccuracySubMetric3,Sparsity,Size,Valid
0,resnet34,32,94.25,99.79,0.3110526284273667,0.0,0.0,85060352.0,1
1,resnet34,4,61.11,94.06,2.5538402448726614,0.0,0.7878182305194317,2256032.0,0
2,resnet34,5,89.17,99.24,0.5850552292187001,0.0,0.5331168156934032,6205195.0,0
3,resnet34,6,93.14,99.7,0.35765058886778517,0.0,0.3042627897895367,11096184.75,1
4,resnet34,7,93.75,99.76,0.32301928428343574,0.0,0.15826297074340812,15662160.5,1
5,resnet34,8,94.04,99.78,0.3134322986006736,0.0,0.07975494858050902,19569092.0,1
6,resnet34,16,94.25,99.79,0.3110526284273667,0.0,0.0,85060352.0,1
7,vgg16,32,92.95,99.53999999999999,0.4216033043929293,0.0,0.0,58862336.0,1
8,vgg16,4,25.8,62.67,3.8508500449265104,0.0,0.8565562875384354,1055429.0,0
9,vgg16,5,84.24000000000001,97.99,0.7943363106703455,0.0,0.681046025764251,2933496.25,0
10,vgg16,6,91.60000000000001,99.33999999999999,0.4824011495596245,0.0,0.503027334830884,5484932.25,1
11,vgg16,7,92.42,99.52,0.4365200522956968,0.0,0.34550827204683143,8427324.5,1
12,vgg16,8,92.73,99.52,0.42724152720427205,0.0,0.20999669466057214,11625360.0,1
13,vgg16,16,92.95,99.53999999999999,0.4216033043929293,0.0,0.0,58862336.0,1
14,resnet50,32,72.64999999999999,91.7,1.3976214935507956,0.0,0.0,94608128.0,1
15,resnet50,4,19.53,40.800000000000004,5.597809501841099,0.0,0.6728122979031992,3869327.0,0
16,resnet50,5,55.13,80.75,2.662342137928251,0.0,0.3966169587458701,8919521.875,0
17,resnet50,6,69.34,89.69,1.6402348672287366,0.0,0.20936733892462178,14025051.75,0
18,resnet50,7,72.12,91.19,1.443178744255742,0.0,0.10579534984562844,18506037.375,1
19,resnet50,8,72.5,91.56,1.4016550635989713,0.0,0.05283368464916671,22402408.0,1
20,resnet50,16,72.64999999999999,91.7,1.3976214935507956,0.0,0.0,94608128.0,1
21,squeezenet1_0,32,58.092,80.422,1.8681257011945296,0.0,0.0,4977792.0,1
22,squeezenet1_0,4,0.19000000000000128,0.8580000000000032,37.43214971147232,0.0,0.5652144565301243,270534.0,0
23,squeezenet1_0,5,1.0040000000000049,3.412000000000004,7.769637779811459,0.0,0.32227622206793693,527120.0,0
24,squeezenet1_0,6,22.094,41.818,4.236887791577509,0.0,0.18411375967497234,761496.0,0
25,squeezenet1_0,7,26.236000000000004,47.45399999999999,4.3038229308164935,0.0,0.11292476664352391,965929.125,0
26,squeezenet1_0,8,30.552,53.008,4.157358969568907,0.0,0.0704971200082285,1156718.0,0
27,squeezenet1_0,16,58.092,80.422,1.8681257011945296,0.0,0.0,4977792.0,1
28,deeplabv3_mobilenet_v3_large,32,73.11294674873352,93.30632622444358,0.0,0.0,0.0,43969568.0,1
29,deeplabv3_mobilenet_v3_large,4,3.4134019166231155,61.799864838088766,0.0,0.0,0.3775012754275866,3421375.0,0
30,deeplabv3_mobilenet_v3_large,5,3.001716546714306,49.65434051366244,0.0,0.0,0.20503817549446923,5461582.5,0
31,deeplabv3_mobilenet_v3_large,6,4.055787995457649,66.30147087565778,0.0,0.0,0.10978711457888324,7339176.75,0
32,deeplabv3_mobilenet_v3_large,7,22.27896898984909,74.3891513948197,0.0,0.0,0.05974377551310028,9043706.875,0
33,deeplabv3_mobilenet_v3_large,8,50.82758665084839,87.15022516875862,0.0,0.0,0.034426355974204736,10613964.0,0
34,deeplabv3_mobilenet_v3_large,16,73.11294674873352,93.30632622444358,0.0,0.0,0.0,43969568.0,1
35,fasterrcnn_resnet50_fpn,32,49.145088409939895,95.91453882230331,49.44601603017445,0.0,0.0,167001856.0,1
36,fasterrcnn_resnet50_fpn,4,0.0,0.0,0.0,0.0,0.8434593684994734,3267822.0,0
37,fasterrcnn_resnet50_fpn,5,0.0,0.0,0.0,0.0,0.5845219588457747,10841500.625,0
38,fasterrcnn_resnet50_fpn,6,31.88118811881188,84.15841584158416,15.841584158415841,0.0,0.3402674039742408,20658106.5,0
39,fasterrcnn_resnet50_fpn,7,46.488185082244485,90.0990099009901,48.003481666848,0.0,0.17984734253492374,29961534.75,1
40,fasterrcnn_resnet50_fpn,8,40.30208046661163,97.88778877887785,34.65346534653465,0.0,0.09213861671094237,37903634.0,0
41,fasterrcnn_resnet50_fpn,16,49.145088409939895,95.91453882230331,49.44601603017445,0.0,0.0,167001856.0,1
