,Network,QuantBits,Accuracy,AccuracySubMetric1,AccuracySubMetric2,AccuracySubMetric3,Sparsity,Size,Valid
28,fcn_resnet101,32,73.2578456401825,93.94634028316943,0.0,0.0,0.0,207371008.0,1
29,fcn_resnet101,4,3.531312942504883,69.91658444401311,0.0,0.0,0.8633482844429247,3542200.5,0
30,fcn_resnet101,5,5.858701840043068,74.043849947701,0.0,0.0,0.5799862437858236,13609168.125,0
31,fcn_resnet101,6,64.55695033073425,91.49268487965838,0.0,0.0,0.328591468292424,26105749.5,0
32,fcn_resnet101,7,72.28878736495972,93.44252434329712,0.0,0.0,0.1762957722614725,37365207.25,1
33,fcn_resnet101,8,72.84830212593079,93.51954910983868,0.0,0.0,0.094195346728507,46959406.0,1
34,fcn_resnet101,16,73.2578456401825,93.94634028316943,0.0,0.0,0.0,207371008.0,1
0,fcn_resnet50,32,69.73700523376465,93.00741823563664,0.0,0.0,0.0,131611392.0,1
1,fcn_resnet50,4,3.483625128865242,72.41609414089459,0.0,0.0,0.8774834628297222,2015571.5,0
2,fcn_resnet50,5,7.538662850856781,74.75088894819703,0.0,0.0,0.5834579729997841,8565886.875,0
3,fcn_resnet50,6,58.39196443557739,89.62707308919946,0.0,0.0,0.3210205694048126,16755267.75,0
4,fcn_resnet50,7,67.63060688972473,92.06190826647688,0.0,0.0,0.16509832218779363,24036812.625,0
5,fcn_resnet50,8,69.34155225753784,92.52206869500517,0.0,0.0,0.08405904558778621,30137066.0,1
6,fcn_resnet50,16,69.73700523376465,93.00741823563664,0.0,0.0,0.0,131611392.0,1
28,deeplabv3_mobilenetv3_large,32,73.11294674873352,93.30632622444358,0.0,0.0,0.0,43969568.0,1
29,deeplabv3_mobilenetv3_large,4,3.4134019166231155,61.799864838088766,0.0,0.0,0.3775012754275866,3421375.0,0
30,deeplabv3_mobilenetv3_large,5,3.001716546714306,49.65434051366244,0.0,0.0,0.20503817549446923,5461582.5,0
31,deeplabv3_mobilenetv3_large,6,4.055787995457649,66.30147087565778,0.0,0.0,0.10978711457888324,7339176.75,0
32,deeplabv3_mobilenetv3_large,7,22.27896898984909,74.3891513948197,0.0,0.0,0.05974377551310028,9043706.875,0
33,deeplabv3_mobilenetv3_large,8,50.82758665084839,87.15022516875862,0.0,0.0,0.034426355974204736,10613964.0,0
34,deeplabv3_mobilenetv3_large,16,73.11294674873352,93.30632622444358,0.0,0.0,0.0,43969568.0,1
0,lraspp_mobilenet_v3_large,32,70.8389401435852,92.9181274666796,0.0,0.0,0.0,12767040.0,1
1,lraspp_mobilenet_v3_large,4,2.830996923148632,44.27918617769798,0.0,0.0,0.6520496528561044,555287.0,0
2,lraspp_mobilenet_v3_large,5,3.2618340104818344,54.62062248614347,0.0,0.0,0.404110584755746,1188710.0,0
3,lraspp_mobilenet_v3_large,6,3.9304446429014206,63.8320659587431,0.0,0.0,0.2322151414893351,1837938.75,0
4,lraspp_mobilenet_v3_large,7,24.393227696418762,77.60731741179262,0.0,0.0,0.13373624583302002,2419292.75,0
5,lraspp_mobilenet_v3_large,8,51.333099603652954,86.47017811313837,0.0,0.0,0.08282796952151794,2927393.0,0
6,lraspp_mobilenet_v3_large,16,70.8389401435852,92.9181274666796,0.0,0.0,0.0,12767040.0,1
0,deeplabv3_resnet101,32,80.08554577827454,95.34210352506038,0.0,0.0,0.0,243546880.0,1
1,deeplabv3_resnet101,4,1.467851921916008,15.297744782568259,0.0,0.0,0.818107955232274,5537405.0,0
2,deeplabv3_resnet101,5,5.0040073692798615,74.44380081629572,0.0,0.0,0.5422074633023424,17420928.75,0
3,deeplabv3_resnet101,6,74.92951154708862,94.09524247595324,0.0,0.0,0.3069304932175686,31649046.75,0
4,deeplabv3_resnet101,7,78.07732820510864,94.59782844580315,0.0,0.0,0.16538946423785017,44464610.75,0
5,deeplabv3_resnet101,8,78.78111004829407,94.73208051619652,0.0,0.0,0.08867472250106423,55487607.0,1
6,deeplabv3_resnet101,16,80.08554577827454,95.34210352506038,0.0,0.0,0.0,243546880.0,1
0,deeplabv3_resnet50,32,78.16521525382996,94.80175073596014,0.0,0.0,0.0,167787264.0,1
1,deeplabv3_resnet50,4,0.6821946240961552,9.37684916725975,0.0,0.0,0.7986868419285984,4222223.0,0
2,deeplabv3_resnet50,5,8.528835326433182,75.26992787320998,0.0,0.0,0.5024408288819824,13044389.375,0
3,deeplabv3_resnet50,6,72.12910056114197,93.12151059189527,0.0,0.0,0.2760705603972421,22774901.25,0
4,deeplabv3_resnet50,7,77.1041750907898,94.29138899672188,0.0,0.0,0.14266904072051623,31467016.0,1
5,deeplabv3_resnet50,8,76.81825757026672,94.15185479479382,0.0,0.0,0.07270759239509383,38896964.0,1
6,deeplabv3_resnet50,16,78.16521525382996,94.80175073596014,0.0,0.0,0.0,167787264.0,1
