,Network,QuantBits,Accuracy,AccuracySubMetric1,AccuracySubMetric2,AccuracySubMetric3,Sparsity,Size,Valid
0,vgg11,8,93.47,99.88,0.2762365532344931,0.0,0,0,1
1,vgg11,4,41.74,90.44,4.032279172520727,0.0,0,0,0
2,vgg11,5,79.65,98.75,0.8985476177778977,0.0,0,0,0
3,vgg11,6,91.75,99.87,0.32755687905202613,0.0,0,0,0
4,vgg11,7,93.45,99.89,0.27913138084706796,0.0,0,0,1
5,resnet18,8,95.28,99.98,0.15580884316509028,0.0,0,0,1
6,resnet18,4,12.429999999999996,63.81,10.597379192425192,0.0,0,0,0
7,resnet18,5,66.3,97.39,1.526610919624377,0.0,0,0,0
8,resnet18,6,88.58,99.62,0.4103569705395181,0.0,0,0,0
9,resnet18,7,94.19999999999999,99.91,0.19017929429556155,0.0,0,0,1
10,vgg16,8,94.23,99.86,0.2708433587133741,0.0,0,0,1
11,vgg16,4,42.44,82.74000000000001,3.9669198595034856,0.0,0,0,0
12,vgg16,5,61.870000000000005,96.39,2.6098927297409937,0.0,0,0,0
13,vgg16,6,91.36,99.86,0.3949574465999842,0.0,0,0,0
14,vgg16,7,94.13,99.87,0.2746902837085828,0.0,0,0,1
