Step,Energy,Latency,EDP,Area
"Initial state eval",1.700e+07,1.394e+10,6.494e+09,3.819e+01
"Initial results",1.700e+07,1.394e+10,6.494e+09,3.819e+01
"Move #1",1.261e+07,1.829e+10,7.467e+09,3.536e+01
"Move #2",1.265e+07,1.829e+10,8.052e+09,3.931e+01
"Move #3",1.237e+07,2.413e+10,7.661e+09,3.476e+01
"Move #4",1.195e+07,5.710e+09,2.302e+09,3.518e+01
"Move #6",1.224e+07,5.351e+09,2.247e+09,3.664e+01
"Move #7",1.201e+07,2.464e+10,7.446e+09,3.762e+01
"Move #10",1.320e+07,2.463e+10,8.234e+09,3.963e+01
"Move #11",1.546e+07,6.527e+09,2.484e+09,4.043e+01
"Move #15",1.147e+07,1.129e+10,3.649e+09,3.382e+01
"Move #16",1.640e+07,2.443e+10,1.039e+10,3.705e+01
"Move #20",1.380e+07,1.067e+10,4.337e+09,3.966e+01
"Move #21",1.516e+07,5.396e+09,2.832e+09,3.913e+01
"Move #23",1.833e+07,1.013e+10,6.693e+09,3.542e+01
"Move #26",1.437e+07,1.221e+10,4.498e+09,3.635e+01
"Move #27",1.206e+07,5.351e+09,1.891e+09,3.409e+01
"Move #28",1.261e+07,1.047e+10,4.030e+09,3.515e+01
"Move #29",1.295e+07,6.846e+09,2.147e+09,3.256e+01
"Move #31",1.201e+07,1.075e+10,3.498e+09,3.134e+01
"Move #33",1.245e+07,1.059e+10,4.000e+09,2.882e+01
"Move #34",1.127e+07,6.687e+09,1.866e+09,3.411e+01
"Move #36",1.254e+07,6.944e+09,2.365e+09,3.174e+01
"Move #37",1.113e+07,5.350e+09,1.748e+09,3.382e+01
"Move #39",1.467e+07,1.294e+10,4.654e+09,3.581e+01
"Move #42",1.304e+07,1.780e+10,7.093e+09,2.870e+01
"Move #43",1.297e+07,5.351e+09,1.996e+09,3.818e+01
"Move #46",1.253e+07,5.351e+09,1.974e+09,3.636e+01
"Move #47",1.180e+07,7.024e+09,2.324e+09,3.126e+01
"Move #49",1.306e+07,8.784e+09,3.989e+09,3.384e+01
"Final pre-summary eval",1.821e+07,7.205e+09,5.065e+09,3.314e+01
"Final scheduling eval",1.113e+07,5.350e+09,1.748e+09,3.382e+01
